City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
26,Ilulissat,GL,69.2167,-51.1,8.62,72,74,0.0,broken clouds
27,Hilo,US,19.7297,-155.09,72.25,93,100,5.75,mist
28,Yazman,PK,29.1212,71.7446,92.26,8,4,6.46,clear sky
29,Gurupi,BR,-11.7292,-49.0686,76.17,70,10,2.68,clear sky
30,Bloomington,US,44.8408,-93.2983,47.1,46,0,6.91,clear sky
31,Butaritari,KI,3.0707,172.7902,80.49,81,98,12.59,light rain
32,Lompoc,US,34.6391,-120.4579,57.85,73,0,28.01,haze
33,Pisco,PE,-13.7,-76.2167,67.01,82,0,9.22,clear sky
34,Cherskiy,RU,68.75,161.3,1.44,86,100,6.08,overcast clouds
35,Marovoay,MG,-16.1,46.6333,71.28,80,50,4.83,scattered clouds
36,Cavalcante,BR,-13.7975,-47.4583,73.81,60,53,1.23,broken clouds
37,Puerto Ayora,EC,-0.7393,-90.3518,78.04,87,72,5.68,broken clouds
38,Alice Springs,AU,-23.7,133.8833,87.35,14,32,5.75,scattered clouds
39,Gravdal,NO,68.1214,13.5031,37.69,96,100,11.27,overcast clouds
40,Bambous Virieux,MU,-20.3428,57.7575,77.25,83,75,8.05,light rain
41,Broken Hill,AU,-31.95,141.4333,81.41,29,0,2.73,clear sky
42,Namibe,AO,-15.1961,12.1522,70.54,78,23,2.55,few clouds
43,Tasiilaq,GL,65.6145,-37.6368,21.36,92,97,3.56,overcast clouds
44,Vila Velha,BR,-20.3297,-40.2925,80.55,89,0,9.22,clear sky
45,Cairns,AU,-16.9167,145.7667,91.11,58,19,16.11,few clouds
46,Arraial Do Cabo,BR,-22.9661,-42.0278,75.69,90,85,7.72,overcast clouds
47,Mangrol,IN,21.1167,70.1167,83.07,61,0,5.82,clear sky
48,Ostrovnoy,RU,68.0531,39.5131,28.71,86,27,11.99,scattered clouds
49,Bredasdorp,ZA,-34.5322,20.0403,59.41,93,14,10.31,few clouds
50,Tombouctou,ML,20.0,-3.0,73.92,9,0,12.24,clear sky
51,Rikitea,PF,-23.1203,-134.9692,79.0,72,8,17.31,light rain
52,Avarua,CK,-21.2078,-159.775,84.25,74,94,8.63,overcast clouds
53,Mataura,NZ,-46.1927,168.8643,62.44,50,13,4.61,few clouds
54,Camacha,PT,33.0833,-16.3333,58.42,72,20,12.66,few clouds
55,Izberbash,RU,42.5696,47.8645,46.45,68,3,3.76,clear sky
56,Bluff,NZ,-46.6,168.3333,58.05,74,8,23.64,clear sky
57,Nosy Varika,MG,-20.5833,48.5333,74.01,85,85,3.11,light rain
58,Tuktoyaktuk,CA,69.4541,-133.0374,3.2,85,75,19.57,broken clouds
59,Iqaluit,CA,63.7506,-68.5145,20.93,85,100,9.22,light snow
60,Lebu,CL,-37.6167,-73.65,49.84,82,36,3.44,scattered clouds
61,Berlevag,NO,70.8578,29.0864,33.6,82,72,12.5,broken clouds
62,Kavieng,PG,-2.5744,150.7967,84.7,68,99,8.66,overcast clouds
63,Komsomolskiy,UZ,40.4272,71.7189,70.52,49,94,0.0,overcast clouds
64,Yatou,CN,37.15,122.3833,62.89,56,5,19.66,clear sky
65,Fortuna,US,40.5982,-124.1573,48.65,78,20,14.97,few clouds
66,Magugu,TZ,-4.0167,35.7667,62.17,89,96,3.04,overcast clouds
67,Yellowknife,CA,62.456,-114.3525,21.72,78,20,17.27,few clouds
68,Atuona,PF,-9.8,-139.0333,79.45,73,5,20.38,clear sky
69,Makokou,GA,0.5738,12.8642,69.37,96,100,0.83,overcast clouds
70,Bissau,GW,11.8636,-15.5977,74.48,62,20,8.43,few clouds
71,Necochea,AR,-38.5473,-58.7368,59.36,94,90,11.68,overcast clouds
72,Hermanus,ZA,-34.4187,19.2345,61.81,90,0,13.87,clear sky
73,Juneau,US,58.3019,-134.4197,42.8,91,20,6.91,few clouds
74,Narsaq,GL,60.9167,-46.05,30.42,58,74,4.74,broken clouds
75,Kendari,ID,-3.945,122.4989,87.46,55,98,4.32,overcast clouds
76,Nikolskoye,RU,59.7035,30.7861,34.72,93,40,6.44,scattered clouds
77,Faanui,PF,-16.4833,-151.75,82.27,72,17,13.51,light rain
78,Awjilah,LY,29.1081,21.2869,68.47,24,80,5.41,broken clouds
79,Esperance,AU,-33.8667,121.9,62.82,56,89,13.67,overcast clouds
80,Khandbari,NP,27.3747,87.2039,70.81,68,61,0.76,broken clouds
81,Airai,TL,-8.9266,125.4092,76.21,37,89,3.51,overcast clouds
82,Bengkulu,ID,-3.8004,102.2655,84.04,66,44,3.22,scattered clouds
83,Ripoll,ES,42.2006,2.1903,46.8,79,100,2.19,overcast clouds
84,Provideniya,RU,64.3833,-173.3,32.85,90,100,17.65,overcast clouds
85,Eureka,US,40.8021,-124.1637,48.92,78,77,10.0,broken clouds
86,Nesna,NO,66.1967,13.0213,38.66,84,100,11.12,overcast clouds
87,Norman Wells,CA,65.282,-126.8329,14.04,57,75,12.66,broken clouds
88,Hobart,AU,-42.8794,147.3294,78.66,42,0,16.11,clear sky
89,Tambun,ID,-6.2641,107.0712,91.85,51,52,1.25,broken clouds
90,Gizo,SB,-8.103,156.8419,84.78,65,100,2.06,overcast clouds
91,Kodiak,US,57.79,-152.4072,40.51,30,0,6.91,clear sky
92,Sanchor,IN,24.7553,71.7722,84.31,45,27,6.78,scattered clouds
93,Mayo,US,38.8876,-76.5119,49.17,62,0,14.97,clear sky
94,Bucerias,MX,20.75,-105.3333,75.18,83,0,3.44,clear sky
95,Saint-Philippe,RE,-21.3585,55.7679,78.39,84,56,12.88,light rain
96,Bardsir,IR,29.9227,56.5743,61.68,17,100,5.99,overcast clouds
97,Hambantota,LK,6.1241,81.1185,82.36,74,96,13.62,overcast clouds
98,Mahebourg,MU,-20.4081,57.7,77.29,83,75,8.05,broken clouds
99,Hasaki,JP,35.7333,140.8333,75.6,63,0,6.4,clear sky
100,Phon,TH,15.816,102.5998,88.36,31,40,3.47,scattered clouds
101,Geraldton,AU,-28.7667,114.6,72.01,49,40,11.5,scattered clouds
102,New Norfolk,AU,-42.7826,147.0587,78.3,38,99,5.01,light rain
103,Kupang,ID,-10.1667,123.5833,84.67,64,100,5.46,overcast clouds
104,Spornoye,RU,50.8448,37.2913,47.44,85,98,12.33,overcast clouds
105,Chokurdakh,RU,70.6333,147.9167,-2.94,92,98,4.85,overcast clouds
106,Catia La Mar,VE,10.6038,-67.0303,81.5,83,20,0.0,few clouds
107,Ribeira Grande,PT,38.5167,-28.7,56.55,69,75,34.74,broken clouds
108,Upernavik,GL,72.7868,-56.1549,-8.34,98,29,3.42,scattered clouds
109,Usinsk,RU,65.9939,57.5281,35.13,100,100,17.83,overcast clouds
110,Key Largo,US,25.0865,-80.4473,69.98,59,4,19.06,clear sky
111,Saldanha,ZA,-33.0117,17.9442,62.65,58,0,7.7,clear sky
112,Gorontalo,ID,0.5412,123.0595,88.27,59,99,5.59,overcast clouds
113,Tafo,GH,6.7345,-1.6127,69.24,92,100,3.51,overcast clouds
114,Qaanaaq,GL,77.484,-69.3632,-2.0,91,100,5.44,overcast clouds
115,Puerto Escondido,MX,15.85,-97.0667,81.43,69,40,3.44,scattered clouds
116,Aksarka,RU,66.5606,67.7975,24.33,96,100,8.03,light snow
117,Newport,GB,51.5877,-2.9984,37.67,81,98,3.94,overcast clouds
118,Zeya,RU,53.75,127.2667,34.74,54,100,8.43,overcast clouds
119,Nishihara,JP,26.1842,127.7558,76.68,88,100,14.97,mist
120,Luderitz,NA,-26.6481,15.1594,63.5,64,0,4.9,clear sky
121,Hervey Bay,AU,-25.2986,152.8535,81.01,70,87,5.99,overcast clouds
122,Yangjiang,CN,21.85,111.9667,77.79,47,0,5.95,clear sky
123,Padang,ID,-0.9492,100.3543,87.85,59,61,4.25,broken clouds
124,Ossora,RU,59.2353,163.0719,28.65,76,100,2.55,overcast clouds
125,Castro,BR,-24.7911,-50.0119,63.5,90,99,1.86,overcast clouds
126,Cockburn Town,TC,21.4612,-71.1419,78.58,77,98,14.32,overcast clouds
127,Isangel,VU,-19.55,169.2667,87.91,74,20,4.61,few clouds
128,Shingu,JP,33.7333,135.9833,70.18,48,11,5.06,few clouds
129,Nome,US,64.5011,-165.4064,32.16,93,100,12.66,mist
130,Thinadhoo,MV,0.5333,72.9333,84.02,66,75,9.86,broken clouds
131,Labytnangi,RU,66.6572,66.4183,22.57,95,100,1.25,light snow
132,Bagdarin,RU,54.4333,113.6,29.01,77,100,4.56,light snow
133,Stepnyak,KZ,52.8339,70.7803,37.98,63,73,11.86,broken clouds
134,Cidreira,BR,-30.1811,-50.2056,69.76,90,58,8.88,broken clouds
135,Darhan,MN,49.4867,105.9228,41.5,49,100,9.13,overcast clouds
136,Saint George,US,37.1041,-113.5841,79.39,7,0,12.66,clear sky
137,Orodara,BF,10.9492,-4.9342,82.85,48,66,9.6,broken clouds
138,Alyangula,AU,-13.8483,136.4192,88.97,51,100,1.7,overcast clouds
139,Monterey,US,36.2505,-121.2516,61.18,39,0,9.24,clear sky
140,Basoko,CD,1.2391,23.616,70.61,89,99,3.0,light rain
141,Ilhabela,BR,-23.7781,-45.3581,74.43,89,88,2.59,overcast clouds
142,Gold Coast,AU,-28.0,153.4333,83.89,74,40,12.66,scattered clouds
143,Batticaloa,LK,7.7102,81.6924,80.83,76,100,3.22,overcast clouds
144,Kaeo,NZ,-35.1,173.7833,71.33,68,87,10.13,overcast clouds
145,Haines Junction,CA,60.7522,-137.5108,30.15,43,81,11.5,broken clouds
146,Teahupoo,PF,-17.8333,-149.2667,80.56,76,55,15.95,light rain
147,Sao Filipe,CV,14.8961,-24.4956,73.45,73,8,13.15,clear sky
148,Sacramento,US,38.4666,-121.3177,69.85,15,0,12.66,clear sky
149,Constitucion,CL,-35.3333,-72.4167,52.56,94,5,5.86,clear sky
150,Thompson,CA,55.7435,-97.8558,33.96,93,100,6.91,overcast clouds
151,Tessalit,ML,20.1986,1.0114,74.59,7,52,10.25,broken clouds
152,Vasilsursk,RU,56.1275,46.0072,37.78,98,100,5.1,overcast clouds
153,Dudinka,RU,69.4058,86.1778,-3.39,96,98,5.21,overcast clouds
154,Abu Samrah,SY,35.3029,37.1841,55.08,62,99,4.9,overcast clouds
155,Garissa,KE,-0.4536,39.6401,78.57,81,16,12.48,few clouds
156,Waipawa,NZ,-41.4122,175.5153,61.45,64,40,1.41,scattered clouds
157,Dobryanka,RU,58.4619,56.4165,38.73,95,100,10.02,overcast clouds
158,Chulym,RU,55.0997,80.9572,31.91,84,100,5.39,overcast clouds
159,Severo-Kurilsk,RU,50.6789,156.125,31.32,74,100,7.23,overcast clouds
160,Half Moon Bay,US,37.4636,-122.4286,63.86,62,0,20.71,clear sky
161,Lata,PT,40.1629,-8.3327,48.92,96,99,3.27,overcast clouds
162,Celestun,MX,20.8667,-90.4,72.16,58,47,19.55,scattered clouds
163,Svetlyy,RU,54.675,20.1347,39.25,74,50,20.62,scattered clouds
164,Nisia Floresta,BR,-6.0911,-35.2086,77.81,91,82,7.11,broken clouds
165,Oussouye,SN,12.485,-16.5469,73.58,65,4,9.13,clear sky
166,Patos,BR,-7.0244,-37.28,74.91,82,53,6.71,broken clouds
167,Mar Del Plata,AR,-38.0023,-57.5575,66.09,95,100,15.01,overcast clouds
168,Georgetown,MY,5.4112,100.3354,87.75,74,20,4.61,thunderstorm
169,Vysha,RU,53.8477,42.3777,43.92,93,80,9.1,broken clouds
170,Narbonne,FR,43.0833,2.8333,41.32,65,7,3.62,clear sky
171,Coreau,BR,-3.5333,-40.6567,72.82,92,100,1.5,overcast clouds
172,Coquimbo,CL,-29.9533,-71.3436,53.33,93,0,3.44,clear sky
173,Tual,ID,-5.6667,132.75,84.36,73,72,13.2,broken clouds
174,Saskylakh,RU,71.9167,114.0833,1.69,88,21,2.66,few clouds
175,Desaguadero,PE,-16.5656,-69.0417,44.96,81,91,7.96,overcast clouds
176,Chihuahua,MX,28.5,-106.0,77.83,31,100,17.34,overcast clouds
177,Klaksvik,FO,62.2266,-6.589,32.92,63,99,20.76,overcast clouds
178,Mount Gambier,AU,-37.8333,140.7667,81.27,27,100,12.57,overcast clouds
179,Tiksi,RU,71.6872,128.8694,-6.12,93,74,7.36,broken clouds
180,Oum Hadjer,TD,13.2954,19.6966,86.65,19,71,2.84,broken clouds
181,Jacareacanga,BR,-6.2222,-57.7528,72.82,98,54,1.57,broken clouds
182,Chuy,UY,-33.6971,-53.4616,64.53,92,24,7.7,few clouds
183,Limache,CL,-33.0167,-71.2667,58.14,75,2,1.12,clear sky
184,Kaitangata,NZ,-46.2817,169.8464,63.03,52,15,7.2,few clouds
185,Robertsport,LR,6.7533,-11.3686,78.87,89,100,8.81,light rain
186,Honiara,SB,-9.4333,159.95,85.82,69,95,5.44,overcast clouds
187,Pindi Bhattian,PK,31.8978,73.273,87.96,18,0,5.73,clear sky
188,Khatanga,RU,71.9667,102.5,10.58,92,98,1.14,overcast clouds
189,Kysyl-Syr,RU,63.8986,122.7617,25.56,84,100,6.8,overcast clouds
190,Osakarovka,KZ,50.565,72.5692,34.41,62,98,15.05,overcast clouds
191,Wuwei,CN,37.9281,102.6414,71.47,9,0,0.72,clear sky
192,Sembakung,ID,3.8167,117.25,88.99,51,100,5.53,overcast clouds
193,Zolotukhino,RU,52.0842,36.3772,51.87,84,100,12.48,overcast clouds
194,Yerbogachen,RU,61.2767,108.0108,28.78,79,12,9.78,few clouds
195,Manaure,CO,11.7751,-72.4445,78.73,77,100,16.73,overcast clouds
196,Broome,US,42.2506,-75.833,40.19,80,0,8.05,clear sky
197,Yelnya,RU,54.5786,33.1837,36.79,95,100,7.4,overcast clouds
198,La Sarre,CA,48.8002,-79.1996,27.36,95,90,5.66,overcast clouds
199,Ashland,US,40.8167,-82.2665,37.36,80,75,10.83,broken clouds
200,Muyezerskiy,RU,63.9333,31.65,32.07,94,99,7.58,overcast clouds
201,Goderich,CA,43.7501,-81.7165,34.92,86,100,2.3,overcast clouds
202,Razole,IN,16.4833,81.8333,87.71,61,79,4.72,broken clouds
203,Martapura,ID,-3.4167,114.85,86.09,74,40,4.61,scattered clouds
204,Kralendijk,BQ,12.15,-68.2667,78.78,78,20,17.27,few clouds
205,High Prairie,CA,55.4334,-116.4858,30.78,66,100,16.89,overcast clouds
206,Nioro,GM,13.35,-15.75,80.33,19,4,6.51,clear sky
207,Hithadhoo,MV,-0.6,73.0833,82.85,73,53,9.08,broken clouds
208,San Joaquin,US,37.9333,-121.3011,70.05,12,0,13.8,clear sky
209,Edd,ER,13.9297,41.6925,85.32,38,0,16.06,clear sky
210,Poso,ID,-1.3959,120.7524,88.21,57,98,4.03,overcast clouds
211,Vao,NC,-22.6667,167.4833,77.68,82,48,23.64,scattered clouds
212,Tamandare,BR,-8.7597,-35.1047,78.19,82,57,7.11,broken clouds
213,Katsuura,JP,35.1333,140.3,68.49,64,0,7.92,clear sky
214,Alencon,FR,48.4333,0.0833,33.31,89,41,1.83,scattered clouds
215,Bairiki,KI,1.3292,172.9752,86.0,74,75,9.22,light rain
216,Lasa,IT,46.6166,10.7002,30.69,91,46,5.93,scattered clouds
217,Dingle,PH,10.9995,122.6711,75.92,92,100,4.9,moderate rain
218,Alofi,NU,-19.0595,-169.9187,85.89,74,42,4.61,scattered clouds
219,Labuhan,ID,-6.8844,112.2051,84.0,71,59,5.5,broken clouds
220,Iset,RU,56.9779,60.3718,33.31,98,100,5.26,overcast clouds
221,Huilong,CN,31.8111,121.655,66.06,77,100,17.65,overcast clouds
222,Hostinne,CZ,50.5407,15.7233,35.35,92,21,6.33,few clouds
223,Grand Gaube,MU,-20.0064,57.6608,77.4,84,7,5.01,clear sky
224,Pomabamba,PE,-8.8333,-77.4667,51.44,88,100,2.59,light rain
225,Xining,CN,36.6167,101.7667,59.5,12,0,0.87,clear sky
226,Waling,NP,27.9833,83.7667,80.01,43,0,3.49,clear sky
227,Rio Grande,BR,-32.035,-52.0986,66.94,92,0,9.95,clear sky
228,Mandan,US,46.8267,-100.8896,50.95,43,100,10.0,overcast clouds
229,Rocha,UY,-34.4833,-54.3333,65.5,86,100,5.46,overcast clouds
230,Nanzhang,CN,31.7765,111.8386,83.32,40,0,5.06,clear sky
231,Port Hardy,CA,50.6996,-127.4199,39.2,81,75,4.61,broken clouds
232,Axim,GH,4.8699,-2.2405,80.08,86,97,4.99,overcast clouds
233,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,74.68,98,100,2.04,overcast clouds
234,Pacific Grove,US,36.6177,-121.9166,60.55,73,75,5.75,broken clouds
235,Lipin Bor,RU,60.2622,37.9763,36.1,97,100,9.55,overcast clouds
236,Tiarei,PF,-17.5333,-149.3333,86.02,75,35,14.61,light rain
237,Jhalida,IN,23.3667,85.9667,90.52,23,5,5.77,clear sky
238,Nizhnevartovsk,RU,60.9344,76.5531,12.22,73,0,2.24,clear sky
239,Santa Cruz,BO,-17.8,-63.1667,76.46,88,75,5.75,broken clouds
240,Ponta Do Sol,PT,32.6667,-17.1,62.71,75,32,8.14,scattered clouds
241,Codrington,AU,-38.2667,141.9667,82.47,31,100,16.08,overcast clouds
242,Ipoti,NG,7.8738,5.0769,69.73,94,100,4.54,overcast clouds
243,Te Anau,NZ,-45.4167,167.7167,64.26,47,9,3.58,clear sky
244,Galveston,US,29.3669,-94.9669,69.96,83,0,9.22,clear sky
245,Longyearbyen,SJ,78.2186,15.6401,15.64,67,20,23.02,few clouds
246,Maryville,US,35.7565,-83.9705,41.09,74,20,3.0,few clouds
247,Kalghatgi,IN,15.1833,74.9667,78.12,74,100,5.66,overcast clouds
248,Margate,GB,51.3813,1.3862,42.69,77,54,4.99,broken clouds
249,Mtambile,TZ,-5.3833,39.7,81.41,70,13,7.43,few clouds
250,La Tuque,CA,47.4334,-72.7824,32.25,93,100,1.14,overcast clouds
251,Umba,RU,66.6871,34.3429,30.27,92,25,13.38,scattered clouds
252,Ardakan,IR,32.31,54.0175,69.37,18,0,3.94,clear sky
253,Kushima,JP,31.4583,131.2333,72.12,50,70,7.29,broken clouds
254,Srednekolymsk,RU,67.45,153.6833,4.01,79,100,6.78,overcast clouds
255,Bayan,CN,46.0833,127.4,68.88,39,100,21.16,overcast clouds
256,Yershichi,RU,53.6725,32.7542,37.13,95,100,6.8,overcast clouds
257,Thunder Bay,CA,48.4001,-89.3168,30.29,83,0,2.3,clear sky
258,Nelson Bay,AU,-32.7167,152.15,77.09,71,29,5.7,scattered clouds
259,Ternate,ID,0.8,127.4,83.1,76,99,9.75,overcast clouds
260,Aklavik,CA,68.2191,-135.0107,7.39,90,100,7.67,overcast clouds
261,Nhulunbuy,AU,-12.2333,136.7667,93.81,46,15,14.97,few clouds
262,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,74.55,80,23,2.71,few clouds
263,Matagami,CA,49.7502,-77.6328,26.71,93,100,6.91,overcast clouds
264,Payo,ID,-3.7508,103.6372,86.56,59,92,2.04,overcast clouds
265,Coihaique,CL,-45.5752,-72.0662,51.75,66,40,3.44,scattered clouds
266,Carnarvon,AU,-24.8667,113.6333,78.87,36,47,13.8,scattered clouds
267,Asau,RO,46.4333,26.4,38.32,96,100,5.66,overcast clouds
268,Yerofey Pavlovich,RU,53.9667,121.9667,33.03,51,100,10.85,overcast clouds
269,Kampene,CD,-3.6,26.6667,66.24,97,99,1.25,overcast clouds
270,Bo Rai,TH,12.5728,102.5371,89.65,47,7,2.21,clear sky
271,Cabo San Lucas,MX,22.8909,-109.9124,71.62,78,3,11.99,clear sky
272,Victoria,HK,22.2855,114.1577,79.95,63,0,4.0,clear sky
273,Zatoka,UA,46.0725,30.4654,50.74,83,56,11.21,broken clouds
274,Pevek,RU,69.7008,170.3133,-7.49,84,22,3.29,few clouds
275,Sioux Lookout,CA,50.1001,-91.917,37.47,35,100,4.61,overcast clouds
276,Parabel,RU,58.6978,81.4825,13.51,86,100,7.99,overcast clouds
277,Ambilobe,MG,-13.2,49.05,71.24,95,60,2.57,broken clouds
278,Diego De Almagro,CL,-26.3667,-70.05,58.77,53,0,1.68,clear sky
279,Mezen,RU,65.8522,44.24,30.97,95,95,5.99,overcast clouds
280,Bulgan,MN,48.8125,103.5347,32.36,90,100,9.37,snow
281,Sun City West,US,33.662,-112.3413,86.81,13,0,8.99,clear sky
282,Hovd,MN,48.0056,91.6419,32.49,36,1,2.1,clear sky
283,Ganzhou,CN,28.8184,115.4327,76.05,50,100,5.77,overcast clouds
284,Leshukonskoye,RU,64.8989,45.7622,33.87,96,100,5.37,overcast clouds
285,Molochnoye,RU,59.2917,39.6787,37.63,94,100,13.76,overcast clouds
286,Salisbury,GB,51.0693,-1.7957,34.57,86,94,1.14,overcast clouds
287,Auray,FR,47.6703,-2.9918,46.74,82,25,8.41,scattered clouds
288,Baijiantan,CN,45.6333,85.1833,58.03,20,95,6.53,overcast clouds
289,Waingapu,ID,-9.6567,120.2641,85.24,61,62,3.89,broken clouds
290,Campbell River,CA,50.0163,-125.2446,42.46,87,100,4.61,overcast clouds
291,Port Arthur,CN,38.8,121.2667,64.62,70,1,10.71,clear sky
292,Hwange,ZW,-18.3693,26.5019,67.32,71,100,6.17,overcast clouds
293,Zhanaozen,KZ,43.3,52.8,54.39,58,100,4.92,overcast clouds
294,Shimoda,JP,34.6667,138.95,75.11,64,0,5.59,clear sky
295,Belmonte,BR,-15.8631,-38.8828,77.02,80,23,5.1,few clouds
296,Tripoli,LY,32.8752,13.1875,62.2,50,99,2.75,overcast clouds
297,East London,ZA,-33.0153,27.9116,63.54,94,75,16.11,light rain
298,Ola,RU,59.5833,151.2833,28.15,72,65,3.49,broken clouds
299,Cascavel,BR,-24.9558,-53.4553,65.66,89,100,3.15,overcast clouds
300,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.91,90,100,7.07,heavy intensity rain
301,Vestmannaeyjar,IS,63.4427,-20.2734,39.2,77,100,28.92,overcast clouds
302,Toamasina,MG,-18.1667,49.3833,73.4,88,40,8.05,scattered clouds
303,Wangou,CN,42.0623,126.9127,67.69,43,58,15.84,broken clouds
304,Paamiut,GL,61.994,-49.6678,24.62,73,99,6.91,overcast clouds
305,Pangai,TO,-19.8,-174.35,84.31,70,40,4.61,scattered clouds
306,Riyadh,SA,24.6877,46.7219,71.74,19,74,9.64,broken clouds
307,Nouakchott,MR,18.0858,-15.9785,66.13,77,7,14.07,clear sky
308,Omboue,GA,-1.5746,9.2618,74.17,93,100,2.68,overcast clouds
309,Abha,SA,18.2164,42.5053,58.82,44,0,0.0,clear sky
310,Iquitos,PE,-3.7481,-73.2472,77.04,100,100,1.14,heavy intensity rain
311,Port Elizabeth,ZA,-33.918,25.5701,66.09,92,75,13.8,broken clouds
312,Amapa,BR,1.0,-52.0,72.91,99,100,3.24,light rain
313,Strezhevoy,RU,60.7333,77.5889,11.17,86,100,3.76,overcast clouds
314,Souillac,MU,-20.5167,57.5167,77.38,83,75,8.05,light rain
315,Pemba,MZ,-12.974,40.5178,74.73,84,0,9.91,clear sky
316,Solnechnyy,RU,50.7214,136.6319,32.88,88,100,3.8,light snow
317,Hualmay,PE,-11.0964,-77.6139,69.08,84,99,6.71,overcast clouds
318,Ixtapa,MX,20.7,-105.2,74.43,83,0,3.44,clear sky
319,Sosnogorsk,RU,63.6023,53.8817,35.69,99,100,7.38,overcast clouds
320,Zabolotovka,RU,50.2737,39.3147,47.73,85,44,10.0,scattered clouds
321,Jasper,US,37.2001,-94.3502,60.85,32,0,10.36,clear sky
322,Fukue,JP,32.6881,128.8419,68.36,73,75,14.97,broken clouds
323,Roseburg,US,43.2165,-123.3417,48.31,46,0,6.91,clear sky
324,Henties Bay,NA,-22.116,14.2845,60.55,76,0,3.8,clear sky
325,Ancud,CL,-41.8697,-73.8203,45.23,83,12,2.28,light rain
326,Raudeberg,NO,61.9875,5.1352,38.07,81,100,31.7,overcast clouds
327,Blagoyevo,RU,63.3667,47.9167,36.99,98,100,9.1,overcast clouds
328,Chuncheng,CN,22.1731,111.7886,81.86,34,0,3.53,clear sky
329,Kidal,ML,18.4411,1.4078,80.64,7,0,13.31,clear sky
330,Caraballeda,VE,10.6112,-66.8522,81.37,74,20,0.0,few clouds
331,Anadyr,RU,64.75,177.4833,36.1,74,0,26.84,clear sky
332,Worthing,GB,50.8145,-0.3713,41.7,80,50,1.99,scattered clouds
333,Chipinge,ZW,-20.1883,32.6236,58.89,98,100,4.0,light rain
334,Perth,AU,-31.9333,115.8333,72.79,50,40,14.97,scattered clouds
335,Ahipara,NZ,-35.1667,173.1667,68.32,67,88,6.46,overcast clouds
336,Inhambane,MZ,-23.865,35.3833,74.59,75,100,15.26,overcast clouds
337,La Ronge,CA,55.1001,-105.2842,35.85,80,75,9.22,broken clouds
338,Baragua,CU,21.6967,-78.6328,69.62,70,35,9.75,scattered clouds
339,Yar-Sale,RU,66.8333,70.8333,14.16,93,100,9.28,overcast clouds
340,Toowoomba,AU,-27.55,151.9667,74.25,66,0,4.0,clear sky
341,Praxedis Guerrero,MX,31.3667,-106.0167,78.26,12,22,18.84,few clouds
342,Hamilton,US,39.1834,-84.5333,39.83,77,100,5.75,overcast clouds
343,The Valley,AI,18.217,-63.0578,78.66,74,95,15.84,overcast clouds
344,Bonavista,CA,48.6499,-53.1147,35.83,98,100,16.78,moderate rain
345,Semey,KZ,50.4111,80.2275,41.22,52,0,6.71,clear sky
346,Kamenskiy,RU,50.8855,45.488,45.16,94,25,2.48,scattered clouds
347,Beira,MZ,-19.8436,34.8389,75.29,94,100,12.66,light intensity drizzle
348,Nanortalik,GL,60.1432,-45.2371,29.19,84,64,3.53,broken clouds
